Account Type,Account Address,Original Vesting,Delegated Free,Delegated Vesting,End Time,Start Time,Periods
Periodic,quick1qqatj0y3fm286n3paucs35ehcx5dly0fwzngny,468901045uqck,,390000000uqck,1718496000,1671195600,"{length: 7729200, amount: 78150174uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2505600, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050059uqck}"
Periodic,quick1qq7aj06gwdy63f8zt4tyx4x596xmd5wnlwrs08,468901045uqck,,,1718496000,1671195600,"{length: 7729200, amount: 78150174uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2505600, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050059uqck}"
Periodic,quick1qz33dtepf8ey29acgav07ayz8ewlsrstl8a4ac,5439252126uqck,2541439uqck,4532710107uqck,1718496000,1671195600,"{length: 7729200, amount: 906542019uqck}; {length: 2678400, amount: 302180673uqck}; {length: 2592000, amount: 302180673uqck}; {length: 2678400, amount: 302180673uqck}; {length: 2592000, amount: 302180673uqck}; {length: 2678400, amount: 302180673uqck}; {length: 2678400, amount: 302180673uqck}; {length: 2592000, amount: 302180673uqck}; {length: 2678400, amount: 302180673uqck}; {length: 2592000, amount: 302180673uqck}; {length: 2678400, amount: 302180673uqck}; {length: 2678400, amount: 302180673uqck}; {length: 2505600, amount: 302180673uqck}; {length: 2678400, amount: 302180673uqck}; {length: 2592000, amount: 302180673uqck}; {length: 2678400, amount: 302180685uqck}"
Periodic,quick1qz7ewwk3l0f32zkkc2jtmerln46r8jfpgtz56l,9668739555uqck,717036uqck,8057282964uqck,1718496000,1671195600,"{length: 7729200, amount: 1611456591uqck}; {length: 2678400, amount: 537152197uqck}; {length: 2592000, amount: 537152197uqck}; {length: 2678400, amount: 537152197uqck}; {length: 2592000, amount: 537152197uqck}; {length: 2678400, amount: 537152197uqck}; {length: 2678400, amount: 537152197uqck}; {length: 2592000, amount: 537152197uqck}; {length: 2678400, amount: 537152197uqck}; {length: 2592000, amount: 537152197uqck}; {length: 2678400, amount: 537152197uqck}; {length: 2678400, amount: 537152197uqck}; {length: 2505600, amount: 537152197uqck}; {length: 2678400, amount: 537152197uqck}; {length: 2592000, amount: 537152197uqck}; {length: 2678400, amount: 537152206uqck}"
Periodic,quick1qrn8xj5kt5j2luwmqas4hrpc3k0xk6e2rhnynw,468901045uqck,,,1718496000,1671195600,"{length: 7729200, amount: 78150174uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2505600, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050059uqck}"
Periodic,quick1qrmssjc4se3yx78vcrz27gjpfnaav8tjct9axn,14770382928uqck,458347559uqck,12308652441uqck,1718496000,1671195600,"{length: 7729200, amount: 2461730487uqck}; {length: 2678400, amount: 820576829uqck}; {length: 2592000, amount: 820576829uqck}; {length: 2678400, amount: 820576829uqck}; {length: 2592000, amount: 820576829uqck}; {length: 2678400, amount: 820576829uqck}; {length: 2678400, amount: 820576829uqck}; {length: 2592000, amount: 820576829uqck}; {length: 2678400, amount: 820576829uqck}; {length: 2592000, amount: 820576829uqck}; {length: 2678400, amount: 820576829uqck}; {length: 2678400, amount: 820576829uqck}; {length: 2505600, amount: 820576829uqck}; {length: 2678400, amount: 820576829uqck}; {length: 2592000, amount: 820576829uqck}; {length: 2678400, amount: 820576835uqck}"
Periodic,quick1qytct4gcwhr4gyfqnyzd0lu776dp57cp8t85lr,6996003596uqck,,,1718496000,1671195600,"{length: 7729200, amount: 1166000598uqck}; {length: 2678400, amount: 388666866uqck}; {length: 2592000, amount: 388666866uqck}; {length: 2678400, amount: 388666866uqck}; {length: 2592000, amount: 388666866uqck}; {length: 2678400, amount: 388666866uqck}; {length: 2678400, amount: 388666866uqck}; {length: 2592000, amount: 388666866uqck}; {length: 2678400, amount: 388666866uqck}; {length: 2592000, amount: 388666866uqck}; {length: 2678400, amount: 388666866uqck}; {length: 2678400, amount: 388666866uqck}; {length: 2505600, amount: 388666866uqck}; {length: 2678400, amount: 388666866uqck}; {length: 2592000, amount: 388666866uqck}; {length: 2678400, amount: 388666874uqck}"
Periodic,quick1q9q7k4murre6g2egmx9amg9rh5ds2xt6qxuy84,468901045uqck,,,1718496000,1671195600,"{length: 7729200, amount: 78150174uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2505600, amount: 26050058uqck}; {length: 2678400, amount: 26050058uqck}; {length: 2592000, amount: 26050058uqck}; {length: 2678400, amount: 26050059uqck}"
Periodic,quick1q9v6hc00w5g33crt4u3jywdd5guu4ym5fvn00f,8487108920uqck,,8435108920uqck,1718496000,1671195600,"{length: 7729200, amount: 1414518153uqck}; {length: 2678400, amount: 471506051uqck}; {length: 2592000, amount: 471506051uqck}; {length: 2678400, amount: 471506051uqck}; {length: 2592000, amount: 471506051uqck}; {length: 2678400, amount: 471506051uqck}; {length: 2678400, amount: 471506051uqck}; {length: 2592000, amount: 471506051uqck}; {length: 2678400, amount: 471506051uqck}; {length: 2592000, amount: 471506051uqck}; {length: 2678400, amount: 471506051uqck}; {length: 2678400, amount: 471506051uqck}; {length: 2505600, amount: 471506051uqck}; {length: 2678400, amount: 471506051uqck}; {length: 2592000, amount: 471506051uqck}; {length: 2678400, amount: 471506053uqck}"
Periodic,quick1q9luv8kgzy65ssc2p3w8643w5sxee77wu8c784,16036415750uqck,497320208uqck,13363679792uqck,1718496000,1671195600,"{length: 7729200, amount: 2672735958uqck}; {length: 2678400, amount: 890911986uqck}; {length: 2592000, amount: 890911986uqck}; {length: 2678400, amount: 890911986uqck}; {length: 2592000, amount: 890911986uqck}; {length: 2678400, amount: 890911986uqck}; {length: 2678400, amount: 890911986uqck}; {length: 2592000, amount: 890911986uqck}; {length: 2678400, amount: 890911986uqck}; {length: 2592000, amount: 890911986uqck}; {length: 2678400, amount: 890911986uqck}; {length: 2678400, amount: 890911986uqck}; {length: 2505600, amount: 890911986uqck}; {length: 2678400, amount: 890911986uqck}; {length: 2592000, amount: 890911986uqck}; {length: 2678400, amount: 890911988uqck}"
